,ID1,ID2,Weight
398,She9,V11M,10.0
399,Tao12,Tao19,2.0
400,Mot12,Tet4,2.0
401,Mot22,Op31,19.0
402,Op6,V11M,9.0
403,PT7,RF2,8.0
404,Mot22,Op18,35.0
405,Mot4,Tet1,1.0
406,PT1,V21M,6.0
407,Op21,Tao5,1.0
408,Op8,She8,51.0
409,Op24,She5,23.0
410,Mot12,Mot20,4.0
411,R21F,R6F,1.0
412,She9,Tao8,8.0
413,Op8,PT2,35.0
414,She3,V21M,6.0
415,T6M,Tao7,6.0
416,Mot13,Mot19,17.0
417,Op41,V11M,10.0
418,Op16,V23M,10.0
419,M11F,Tao16,6.0
420,Tao12,Tao6,6.0
421,Op41,She3,5.0
422,Op5,V22M,22.0
423,She4,V12M,5.0
424,Op10,V19M,13.0
425,R6F,RF2,6.0
426,Op23,Op33,21.0
427,M11F,Tao5,11.0
428,Op21,PT2,4.0
429,PT2,She5,41.0
430,V12M,V23M,4.0
431,PT1,She8,15.0
432,She3,She8,36.0
433,Op27,V21M,6.0
434,Tao15,Tet4,6.0
435,Op16,Tet1,15.0
436,R14M,RF7,8.0
437,Tao12,Tao8,3.0
438,Op4,Op8,32.0
439,PT2,She8,28.0
440,Op22,She9,6.0
441,Op41,Tao5,6.0
442,Op18,Op22,17.0
443,Op17,She3,4.0
444,Op24,Op27,4.0
445,She5,Tao5,11.0
446,Op24,Op33,24.0
447,V12M,V6M,13.0
448,Op24,She4,11.0
449,Op20,PT1,27.0
450,Mot22,She3,29.0
451,Mot12,Mot18,2.0
452,V23M,V6M,4.0
453,Tao12,Tao2,12.0
454,Op13,Op19,8.0
455,Mot22,V11M,7.0
456,Op13,She4,7.0
457,Mot22,Tet1,18.0
458,Mot11,Tet1,10.0
459,Mot22,Tet4,8.0
460,She1,She3,10.0
461,Op17,Op20,3.0
462,M6F,R14M,1.0
463,Op20,Tao8,37.0
464,PT2,V6M,12.0
465,She1,She13,12.0
466,Op13,Op33,17.0
467,Tao12,Tao3,6.0
468,Op18,V11M,8.0
469,Mot1,Mot13,11.0
470,Op6,PT2,9.0
471,She8,Tao8,23.0
472,Mot4,Tet6,1.0
473,Op13,Op41,6.0
474,Op27,Op33,6.0
475,Op27,She9,6.0
476,She3,V12M,12.0
477,Mot22,Op19,25.0
478,Op27,She1,2.0
479,PT7,RF4,2.0
480,Op16,Op8,34.0
481,Op24,V6M,4.0
482,Op19,She13,26.0
483,Mot11,Mot21,7.0
484,Op20,PT2,53.0
485,Mot8,R14M,10.0
486,Op41,She1,10.0
487,Op21,Op31,4.0
488,Op33,V19M,15.0
489,PT1,She3,12.0
490,She3,V19M,10.0
491,RF3,RF4,1.0
492,Op6,She13,24.0
493,R6F,RF4,2.0
494,Op24,V22M,13.0
495,Op10,Op31,56.0
496,Op16,Op4,12.0
497,Op19,PT2,13.0
498,Op18,Op4,19.0
499,Op5,She1,41.0
500,Op24,PT1,6.0
501,Mot21,Tet1,7.0
502,Mot2,Mot20,3.0
503,Op19,Tao5,4.0
504,Op17,Op6,4.0
505,Mot11,Mot8,19.0
506,Op24,Op41,9.0
507,She13,She3,14.0
508,Mot22,Op16,28.0
509,Op10,Op41,4.0
510,Op19,Tao15,13.0
511,Op16,Op6,28.0
512,Op24,V21M,4.0
513,She3,V22M,6.0
514,Op8,Op9,6.0
515,PT1,V22M,5.0
516,Op17,Op31,2.0
517,T6F,Tao8,3.0
518,Op33,V6M,16.0
519,Op33,Op41,11.0
520,Op23,Op8,13.0
521,She9,V22M,10.0
522,T6M,Tao11,6.0
523,R21F,RF2,2.0
524,Op18,PT1,7.0
525,Op13,Op18,15.0
526,Op31,She1,14.0
527,Mot20,Tet4,8.0
528,Tao16,Tao2,6.0
529,Op18,Op5,34.0
530,Mot18,R14M,12.0
531,Op21,Op27,1.0
532,M11F,T18M,5.0
533,Op9,She5,8.0
534,Op19,Op20,29.0
535,Op24,She8,15.0
536,Op13,She1,9.0
537,Op33,She13,27.0
538,Op10,Op24,19.0
539,R21F,Tao19,2.0
540,Op10,She3,36.0
541,Op17,Op4,2.0
542,Op22,Tao8,12.0
543,Mot22,Op20,37.0
544,Op6,V23M,9.0
545,Op22,V22M,9.0
546,R14M,RF4,2.0
547,Op33,V21M,9.0
548,Tao11,Tao13,1.0
549,Op8,Tet1,35.0
550,Op10,She4,15.0
551,Op20,She3,46.0
552,Op17,Op24,4.0
553,Op20,Op27,4.0
554,Op16,Tao8,29.0
555,Tet4,V6M,8.0
556,Op31,PT2,28.0
557,She1,V21M,3.0
558,T18M,Tao2,5.0
559,Tao11,Tao5,4.0
560,Mot17,Tet6,5.0
561,Mot22,R6F,4.0
562,Op8,She13,20.0
563,Mot22,Op22,12.0
564,Op20,She9,30.0
565,Op13,Op22,4.0
566,Tao8,V19M,6.0
567,Op20,V22M,22.0
568,Op22,Tet4,2.0
569,Op13,She5,9.0
570,Op23,Tao8,8.0
571,She1,Tao5,11.0
572,Op23,Tet1,10.0
573,Op22,Tao15,5.0
574,Op10,PT2,28.0
575,Mot17,Mot19,15.0
576,Mot19,Mot4,2.0
577,Op21,V19M,4.0
578,Mot2,Mot5,2.0
579,Op22,V12M,2.0
580,Op16,Op17,3.0
581,Mot12,Mot17,4.0
582,V11M,V22M,5.0
583,Mot19,Mot21,7.0
584,Op24,She3,14.0
585,Mot21,Mot8,7.0
586,Mot14,Mot18,4.0
587,Op19,Op23,5.0
588,Op24,She13,19.0
589,Op16,Op41,9.0
590,Mot17,Mot2,3.0
591,Op31,Op33,47.0
592,Op20,Op31,47.0
593,Op20,Op5,75.0
594,Op22,V6M,5.0
595,She4,Tao5,7.0
596,Tet1,V21M,6.0
597,Op17,Op5,1.0
598,Op16,V11M,8.0
599,Op16,She5,44.0
600,Op5,She3,26.0
601,PT1,She13,13.0
602,Op18,Op19,25.0
603,Op22,She8,11.0
604,Mot22,R21F,1.0
605,Op17,V12M,1.0
606,Tao16,Tao6,3.0
607,Op10,She1,24.0
608,Mot18,Tet4,12.0
609,She13,V11M,5.0
610,She13,Tao15,11.0
611,She3,Tao8,29.0
612,Op19,Op4,12.0
613,She5,Tet1,27.0
614,Op8,She4,20.0
615,Op20,V23M,10.0
616,Op19,V12M,3.0
617,Mot20,Tet1,6.0
618,M6F,Mot20,1.0
619,Mot13,Mot5,5.0
620,Op31,Op4,15.0
621,Op21,Tao8,6.0
622,Op20,Op4,19.0
623,Tao3,Tao6,2.0
624,Op33,Tao8,37.0
625,She13,She5,32.0
626,Op16,Tao15,6.0
627,Op31,V21M,6.0
628,V22M,V23M,5.0
629,Mot2,Mot4,1.0
630,Op10,Op5,51.0
631,RF2,Tao19,5.0
632,Mot16,Tao11,4.0
633,Op18,Tao15,14.0
634,Op17,Tet4,1.0
635,Mot18,Mot19,14.0
636,Op24,Tao5,3.0
637,She3,Tet4,8.0
638,Tao19,Tao6,2.0
639,Op13,V22M,10.0
640,M11F,T6M,7.0
641,Op27,She5,6.0
642,Op8,She5,71.0
643,M11F,Tao13,1.0
644,Tet1,V19M,8.0
645,Op22,V11M,2.0
646,Op17,She5,4.0
647,Mot12,Mot19,4.0
648,Op20,She13,32.0
649,Op18,She13,26.0
650,She8,V6M,13.0
651,Mot13,Mot20,10.0
652,She5,Tet4,8.0
653,She13,She8,20.0
654,Op6,Tao8,15.0
655,Op16,V22M,12.0
656,Mot20,Tet6,6.0
657,She5,She9,25.0
658,Op17,Op33,3.0
659,T6F,Tao7,4.0
660,M6F,Mot15,1.0
661,Op4,V22M,6.0
662,M11F,Tao11,4.0
663,Op18,Op20,41.0
664,Mot14,Mot17,3.0
665,Mot17,Mot18,10.0
666,Op23,Op24,3.0
667,T18M,Tao11,6.0
668,She4,Tao8,8.0
669,M11F,Tao12,10.0
670,Op17,She8,3.0
671,Op5,V11M,22.0
672,Op19,Op5,25.0
673,Op17,Op41,1.0
674,Mot22,PT1,9.0
675,Op27,Op8,6.0
676,Mot1,Mot19,11.0
677,Op10,Op33,60.0
678,Op22,Op33,16.0
679,Op5,Tet1,10.0
680,RF2,RF3,2.0
681,Mot16,Tao5,12.0
682,Mot22,Op5,37.0
683,Mot14,Mot19,4.0
684,Tao8,Tet1,20.0
685,Op27,Tao8,4.0
686,Tao10,Tao2,12.0
687,Mot19,Mot8,23.0
688,Mot22,Tao19,3.0
689,Op16,Op24,17.0
690,Tao2,Tao6,5.0
691,Op21,Op5,7.0
692,T18M,Tao13,1.0
693,Mot16,Tao13,1.0
694,Op24,She9,10.0
695,Tao2,Tao9,1.0
696,Mot1,Mot2,5.0
697,Op23,PT1,15.0
698,Op18,Op31,16.0
699,Op8,V22M,6.0
700,Op16,V21M,3.0
701,Mot19,Mot20,14.0
702,Tao10,Tao8,3.0
703,Mot22,V6M,9.0
704,Op21,V11M,2.0
705,Op22,She13,12.0
706,Op4,V19M,16.0
707,Mot12,Tet1,2.0
708,Op31,She13,19.0
709,Mot4,Mot5,1.0
710,Op18,PT2,16.0
711,Op16,She13,19.0
712,T6M,Tao2,10.0
713,Op22,V21M,2.0
714,Mot13,Tet6,4.0
715,T18M,Tao8,3.0
716,Op8,V6M,25.0
717,Op6,She4,20.0
718,Op4,Tao15,11.0
719,Tao10,Tao11,6.0
720,Mot1,Tet6,3.0
721,Op17,V19M,2.0
722,Tao7,Tao8,3.0
